row,original_name,normalized_name,group_title,country_hint,matched,tvg_id,epg_source_section,confidence,method
1676,Telecadena 7/4,TELECADENA 7 4,HONDURAS,hn,False,,,83,review_required
1677,Vica TV,VICA,HONDURAS,hn,False,,,83,review_required
1678,TEN Canal 10,TEN,HONDURAS,hn,True,Ten.ae,epg_ripper_AE1,99,exact_name
1679,Canal 11,,HONDURAS,hn,False,,,0,empty_name
1680,Une TV,UNE,HONDURAS,hn,False,,,83,review_required
1681,HCH,HCH,HONDURAS,hn,False,,,90,review_required
1682,Tigo Sports HN OP1,TIGO SPORTS HN OP1,HONDURAS,hn,False,,,83,review_required
1683,Tigo Sports HN OP2,TIGO SPORTS HN OP2,HONDURAS,hn,False,,,83,review_required
1684,Tigo Sports HN OP3,TIGO SPORTS HN OP3,HONDURAS,hn,False,,,83,review_required
1685,TeleProgreso,TELEPROGRESO,HONDURAS,hn,False,,,83,review_required
1686,Campus TV,CAMPUS,HONDURAS,hn,False,,,83,review_required
1687,CHTV,CHTV,HONDURAS,hn,False,,,83,review_required
1688,Cholusat Sur 36,CHOLUSAT SUR 36,HONDURAS,us,False,,,83,review_required
1689,Ebenezer TV,EBENEZER,HONDURAS,hn,False,,,83,review_required
1690,TDTV,TDTV,HONDURAS,hn,False,,,83,review_required
1691,TDTV+,TDTV+,HONDURAS,hn,False,,,83,review_required
1692,LTV Honduras,LTV HONDURAS,HONDURAS,hn,False,,,83,review_required
1693,HON: 45 TV - El canal de los ceibeños,HON 45 TV EL DE LOS CEIBENOS,HONDURAS,hn,False,,,0,no_candidate
1694,HN | TELECEIBA HD,HN TELECEIBA,HONDURAS,hn,False,,,0,no_candidate
1695,MEGA TV,MEGA,HONDURAS,hn,True,MEGA.HD.gr,epg_ripper_GR1,99,exact_name
1696,Millenium Tv,MILLENIUM,PERU,pe,False,,,83,review_required
1697,CANAL 30 TVO,TVO,HONDURAS,hn,True,TVO.ch,epg_ripper_CH1,99,exact_name
1698,CR - Retro Palmares,CR RETRO PALMARES,COSTA RICA,cr,False,,,83,review_required
1699,Telemetro FHD,TELEMETRO,PANAMA,pa,True,Canal.13.de.Panamá.(Telemetro).pa,epg_ripper_PA1,94,fuzzy_country
